Integral: 1.000557	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000694	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999728	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000160	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999535	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000106	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001551	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999372	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999337	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000330	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000100	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000900	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001126	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000775	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
